opportunity_id,company_id,role,need_level,headcount_needed,requirements
O0001,C0001,組立・検査,B,1,組立・検査経験不問。シフト:2交替。即日〜1ヶ月内に開始希望。
O0002,C0002,組立・検査,B,1,組立・検査経験不問。シフト:2交替。即日〜1ヶ月内に開始希望。
O0003,C0003,フォークリフト,B,2,フォークリフト経験必須。シフト:2交替。即日〜半年内に開始希望。
O0004,C0004,機械オペ,A,10,機械オペ経験不問。シフト:3交替。即日〜1ヶ月内に開始希望。
O0005,C0004,組立・検査,B,10,組立・検査経験必須。シフト:日勤。即日〜半年内に開始希望。
O0006,C0005,設備保全,B,2,設備保全経験不問。シフト:日勤。即日〜1ヶ月内に開始希望。
O0007,C0005,組立・検査,B,10,組立・検査経験不問。シフト:3交替。即日〜半年内に開始希望。
O0008,C0006,清掃,A,3,清掃経験必須。シフト:3交替。即日〜3ヶ月内に開始希望。
O0009,C0006,フォークリフト,C,1,フォークリフト経験不問。シフト:日勤。即日〜3ヶ月内に開始希望。
O0010,C0007,設備保全,A,1,設備保全経験不問。シフト:3交替。即日〜半年内に開始希望。
O0011,C0007,組立・検査,A,3,組立・検査経験不問。シフト:日勤。即日〜3ヶ月内に開始希望。
O0012,C0008,設備保全,B,10,設備保全経験必須。シフト:2交替。即日〜1ヶ月内に開始希望。
O0013,C0009,設備保全,A,5,設備保全経験不問。シフト:3交替。即日〜1ヶ月内に開始希望。
O0014,C0010,清掃,C,5,清掃経験不問。シフト:2交替。即日〜1ヶ月内に開始希望。
O0015,C0010,機械オペ,A,2,機械オペ経験必須。シフト:日勤。即日〜1ヶ月内に開始希望。
O0016,C0011,介護補助,B,3,介護補助経験不問。シフト:日勤。即日〜半年内に開始希望。
O0017,C0012,清掃,B,5,清掃経験不問。シフト:2交替。即日〜1ヶ月内に開始希望。
O0018,C0013,介護補助,B,1,介護補助経験必須。シフト:2交替。即日〜半年内に開始希望。
O0019,C0014,清掃,A,3,清掃経験不問。シフト:日勤。即日〜3ヶ月内に開始希望。
O0020,C0015,設備保全,B,1,設備保全経験必須。シフト:日勤。即日〜3ヶ月内に開始希望。
O0021,C0016,ピッキング,C,10,ピッキング経験必須。シフト:日勤。即日〜半年内に開始希望。
O0022,C0017,組立・検査,B,3,組立・検査経験不問。シフト:2交替。即日〜3ヶ月内に開始希望。
O0023,C0017,ピッキング,B,10,ピッキング経験必須。シフト:2交替。即日〜半年内に開始希望。
O0024,C0018,ピッキング,A,5,ピッキング経験必須。シフト:2交替。即日〜1ヶ月内に開始希望。
O0025,C0018,梱包,B,2,梱包経験不問。シフト:3交替。即日〜3ヶ月内に開始希望。
O0026,C0019,ピッキング,B,3,ピッキング経験必須。シフト:日勤。即日〜半年内に開始希望。
O0027,C0020,組立・検査,C,2,組立・検査経験不問。シフト:2交替。即日〜3ヶ月内に開始希望。
O0028,C0020,介護補助,A,5,介護補助経験不問。シフト:日勤。即日〜1ヶ月内に開始希望。
O0029,C0021,設備保全,C,2,設備保全経験不問。シフト:日勤。即日〜3ヶ月内に開始希望。
O0030,C0022,フォークリフト,A,1,フォークリフト経験不問。シフト:2交替。即日〜3ヶ月内に開始希望。
O0031,C0023,ピッキング,A,2,ピッキング経験不問。シフト:3交替。即日〜3ヶ月内に開始希望。
O0032,C0024,介護補助,C,10,介護補助経験不問。シフト:日勤。即日〜3ヶ月内に開始希望。
O0033,C0024,機械オペ,B,10,機械オペ経験不問。シフト:3交替。即日〜1ヶ月内に開始希望。
O0034,C0025,設備保全,B,1,設備保全経験不問。シフト:3交替。即日〜半年内に開始希望。
O0035,C0026,フォークリフト,A,3,フォークリフト経験必須。シフト:2交替。即日〜半年内に開始希望。
O0036,C0027,介護補助,B,10,介護補助経験不問。シフト:2交替。即日〜半年内に開始希望。
O0037,C0028,ピッキング,B,3,ピッキング経験不問。シフト:2交替。即日〜3ヶ月内に開始希望。
O0038,C0029,介護補助,A,2,介護補助経験不問。シフト:2交替。即日〜半年内に開始希望。
O0039,C0030,介護補助,A,2,介護補助経験不問。シフト:2交替。即日〜半年内に開始希望。
O0040,C0030,組立・検査,B,5,組立・検査経験必須。シフト:日勤。即日〜1ヶ月内に開始希望。
O0041,C0031,介護補助,B,3,介護補助経験必須。シフト:日勤。即日〜3ヶ月内に開始希望。
O0042,C0032,フォークリフト,B,10,フォークリフト経験不問。シフト:日勤。即日〜1ヶ月内に開始希望。
O0043,C0033,梱包,A,2,梱包経験必須。シフト:2交替。即日〜3ヶ月内に開始希望。
O0044,C0034,設備保全,B,1,設備保全経験必須。シフト:日勤。即日〜1ヶ月内に開始希望。
O0045,C0034,清掃,C,3,清掃経験不問。シフト:日勤。即日〜1ヶ月内に開始希望。
O0046,C0035,組立・検査,B,3,組立・検査経験不問。シフト:3交替。即日〜3ヶ月内に開始希望。
O0047,C0036,機械オペ,A,2,機械オペ経験必須。シフト:3交替。即日〜半年内に開始希望。
O0048,C0037,機械オペ,A,1,機械オペ経験不問。シフト:2交替。即日〜1ヶ月内に開始希望。
O0049,C0038,設備保全,A,5,設備保全経験必須。シフト:日勤。即日〜3ヶ月内に開始希望。
O0050,C0039,ピッキング,C,3,ピッキング経験必須。シフト:日勤。即日〜半年内に開始希望。
O0051,C0040,フォークリフト,A,3,フォークリフト経験不問。シフト:2交替。即日〜1ヶ月内に開始希望。
O0052,C0041,ピッキング,B,1,ピッキング経験不問。シフト:2交替。即日〜3ヶ月内に開始希望。
